transaction_id,customer_id,amount,currency,transaction_date
1001,1,150.25,USD,2024-03-01
1002,2,99.99,USD,2024-03-02
1003,2,99.99,USD,2024-03-02
1004,3,45.50,USD,2024-03-03
1005,4,220.00,USD,2024-03-03
1006,1,75.00,USD,2024-03-04
1007,5,310.75,USD,2024-03-04
1008,3,60.00,USD,2024-03-05
1009,6,500.00,USD,2024-03-05
1010,2,89.99,USD,2024-03-06
1011,7,120.00,USD,2024-03-06
1012,4,35.25,USD,2024-03-07
1013,8,410.00,USD,2024-03-07
1014,9,95.00,USD,2024-03-08
1015,10,250.00,USD,2024-03-08
1016,1,130.00,USD,2024-03-09
1017,2,180.75,USD,2024-03-09
1018,3,49.99,USD,2024-03-10
1019,4,600.00,USD,2024-03-10
1020,5,70.00,USD,2024-03-11
1021,6,210.00,USD,2024-03-11
1022,7,33.33,USD,2024-03-12
1023,8,99.95,USD,2024-03-12
1024,9,145.00,USD,2024-03-13
1025,10,500.00,USD,2024-03-13
1026,1,85.00,USD,2024-03-14
1027,2,275.40,USD,2024-03-14
1028,3,40.00,USD,2024-03-15
1029,4,320.00,USD,2024-03-15
1030,5,150.00,USD,2024-03-16
1031,6,60.00,USD,2024-03-16
1032,7,700.00,USD,2024-03-17
1033,8,90.00,USD,2024-03-17
1034,9,55.50,USD,2024-03-18
1035,10,430.00,USD,2024-03-18
1036,1,99.99,USD,2024-03-19
1037,2,110.00,USD,2024-03-19
1038,3,250.00,USD,2024-03-20
1039,4,45.00,USD,2024-03-20
1040,5,600.00,USD,2024-03-21
1041,6,80.00,USD,2024-03-21
1042,7,95.95,USD,2024-03-22
1043,8,330.00,USD,2024-03-22
1044,9,140.00,USD,2024-03-23
1045,10,25.00,USD,2024-03-23
1046,1,510.00,USD,2024-03-24
1047,2,66.60,USD,2024-03-24
1048,3,190.00,USD,2024-03-25
1049,4,75.00,USD,2024-03-25
1050,5,220.00,USD,2024-03-26
1051,6,48.00,USD,2024-03-26
1052,7,360.00,USD,2024-03-27
1053,8,105.00,USD,2024-03-27
1054,9,88.88,USD,2024-03-28
1055,10,410.00,USD,2024-03-28
1056,1,59.99,USD,2024-03-29
1057,2,500.00,USD,2024-03-29
1058,3,72.00,USD,2024-03-30
1059,4,260.00,USD,2024-03-30
1060,5,130.00,USD,2024-03-31
1061,6,95.00,USD,2024-04-01
1062,7,45.00,USD,2024-04-01
1063,8,620.00,USD,2024-04-02
1064,9,110.00,USD,2024-04-02
1065,10,300.00,USD,2024-04-03
1066,1,210.00,USD,2024-04-03
1067,2,35.75,USD,2024-04-04
1068,3,400.00,USD,2024-04-04
1069,4,90.00,USD,2024-04-05
1070,5,510.00,USD,2024-04-05
1071,6,65.00,USD,2024-04-06
1072,7,140.00,USD,2024-04-06
1073,8,85.00,USD,2024-04-07
1074,9,275.00,USD,2024-04-07
1075,10,55.00,USD,2024-04-08
1076,1,600.00,USD,2024-04-08
1077,2,120.00,USD,2024-04-09
1078,3,99.00,USD,2024-04-09
1079,4,350.00,USD,2024-04-10
1080,5,75.25,USD,2024-04-10
1081,6,410.00,USD,2024-04-11
1082,7,60.00,USD,2024-04-11
1083,8,150.00,USD,2024-04-12
1084,9,500.00,USD,2024-04-12
1085,10,95.00,USD,2024-04-13
1086,1,270.00,USD,2024-04-13
1087,2,44.44,USD,2024-04-14
1088,3,330.00,USD,2024-04-14
1089,4,115.00,USD,2024-04-15
1090,5,700.00,USD,2024-04-15
1091,6,90.00,USD,2024-04-16
1092,7,210.00,USD,2024-04-16
1093,8,65.00,USD,2024-04-17
1094,9,480.00,USD,2024-04-17
1095,10,100.00,USD,2024-04-18
1096,1,550.00,USD,2024-04-18
1097,2,75.00,USD,2024-04-19
1098,3,260.00,USD,2024-04-19
1099,4,95.00,USD,2024-04-20
1100,5,400.00,USD,2024-04-20
